Movie_id,Popularity
547016,5.1286
13220,3.7165
429415,3.3934
228979,3.6641
98106,3.7261
43017,3.1013
12548,4.2658
472876,4.0783
2044,4.14
20620,3.7006
239,4.1004
25525,3.8051
866463,4.654
662053,4.3626
8769,3.9396
482040,4.1897
13827,4.0144
241180,3.6146
125891,3.5742
1029634,3.3803
447759,3.553
109083,3.296
223319,3.5491
108949,3.4437
24664,3.6782
375290,3.4619
693827,4.7413
6950,4.6947
112963,3.4872
552688,4.1567
2268,3.6208
227071,3.2647
8051,3.3168
31197,3.5037
11850,4.403
10435,4.0427
11326,3.8953
1325230,4.5832
605886,4.947
14817,3.8693
580592,3.3489
146216,3.6499
241697,3.7185
397243,4.5144
160415,4.207
49524,3.7592
453664,3.9989
725228,4.216
602734,4.8999
99494,3.6691
436349,3.7416
529216,4.4859
17830,3.9209
458897,3.8965
588890,1.9175
795859,4.3635
514782,3.5868
127517,3.7756
660982,4.1244
673166,3.6972
15394,3.9991
51540,4.1002
45595,3.8255
762430,4.9403
205321,3.1997
209361,3.5851
11462,3.2646
1280452,3.6204
468091,3.3945
872,3.6977
1099639,4.0937
452728,3.8285
581392,5.6133
120044,3.7185
6947,4.6364
826749,4.1484
8277,3.8063
138496,3.4474
68555,3.5595
302699,4.2637
58813,3.7271
28211,4.4014
521007,3.7016
14128,3.5787
274854,5.0589
822240,3.6695
1307118,3.5867
10218,4.0155
1530875,3.0905
13246,12.0679
454652,4.6567
1249423,3.7781
454467,4.3452
644495,5.0634
430074,3.8086
440431,3.2414
874405,3.9062
14784,4.1255
757388,4.4121
61416,4.0347
43194,3.7561
768135,2.6326
10627,4.1184
9529,6.1288
48736,3.3823
480414,3.6301
133548,3.4587
146451,3.6463
1164355,4.3394
201088,4.8921
28211,4.4014
521007,3.7016
14128,3.5787
274854,5.0589
1244872,2.7523
1307118,3.5867
10218,4.0155
455942,3.3301
1530875,3.0905
13246,12.0679
160415,4.207
425773,3.3934
874405,3.9062
14784,4.1255
757388,4.4121
61416,4.0347
43194,3.7561
768135,2.6326
395883,3.2264
10627,4.1184
1322851,3.2075
136418,4.6064
1291659,4.0452
25797,3.739
1812,3.7184
1132302,3.9208
410191,3.5677
417448,3.5574
1235623,3.0002
1290287,3.9534
241257,3.3557
44046,3.693
547017,3.6784
44136,4.2375
11481,3.4682
28971,4.3187
928,4.0918
486443,3.5003
45317,4.476
268241,3.5411
209361,3.5851
1439713,3.2193
850839,3.3495
10336,4.311
64687,3.1188
883954,4.7525
9572,2.8549
124880,4.0353
1518121,3.827
175574,4.6278
130989,2.9246
256311,3.1235
848334,2.7058
1214469,3.6794
831815,3.2007
213576,3.6317
616651,3.9317
845506,3.595
2749,4.0229
333968,3.1503
25446,4.007
55846,4.5366
4552,3.9628
36565,3.4149
658144,3.4617
60202,3.9745
529253,3.6855
41555,3.9158
22683,3.6196
165629,4.0987
765,4.7233
26877,4.3961
11451,3.5823
667520,4.6654
536593,3.1786
15592,3.7732
467938,4.9035
402677,3.1672
41128,3.3796
10189,4.4374
1071107,3.4429
1245084,3.9015
12665,4.1683
107748,4.208
1624,5.2404
390010,3.3122
81059,3.7274
11365,4.4996
652242,3.4617
468224,4.0107
89708,3.5152
25440,3.5683
658334,3.9474
41574,3.55
30882,3.6826
1198899,3.183
715253,3.8643
293828,3.7891
1163328,3.574
1169210,3.6402
701554,3.6774
463602,4.2696
28028,3.6641
248670,3.3056
74308,4.6085
16617,3.588
482373,3.4748
121971,3.599
15128,3.4647
11660,4.1436
51447,3.7422
42348,3.2682
345839,3.4508
11009,4.2051
42424,3.7863
58745,2.9598
1019972,3.2402
9695,3.9296
1946,3.557
476,3.3532
76235,3.5048
1026743,3.4739
52036,3.8221
997660,4.1294
680813,4.8028
984,4.7486
138289,3.2957
516575,3.5122
532645,4.1461
112720,3.3845
22073,3.937
46705,4.2411
749407,4.1839
505354,3.6817
378160,3.2239
549294,3.9093
1246369,3.6339
11622,3.6402
674025,3.804
113082,3.8882
707103,4.8725
258152,3.7532
111934,3.8066
1498,3.5873
10665,3.9579
258480,4.9454
461615,3.689
11321,5.3861
4553,5.0196
51447,3.7422
17006,3.6207
1559,4.1628
278774,3.4062
974024,3.9908
11351,3.7168
1244872,2.7523
537946,3.3813
10052,4.4765
455942,3.3301
37786,4.3776
715253,3.8643
437068,4.3738
293828,3.7891
701554,3.6774
229273,3.6682
1212705,3.1899
463602,4.2696
28028,3.6641
430354,4.349
16617,3.588
482373,3.4748
97361,3.6505
82881,3.8706
15128,3.4647
11660,4.1436
51447,3.7422
42348,3.2682
376261,3.8175
11009,4.2051
42424,3.7863
14805,4.1182
1210132,3.2892
919355,3.4559
974950,4.8367
130989,2.9246
35721,3.5157
1246470,3.4932
4909,4.0799
926606,3.9366
167032,3.4318
1179141,3.0105
284162,3.2882
97361,3.6505
489418,4.2762
429455,2.4914
826,3.3255
1541,4.1775
192102,4.133
5651,3.7193
850839,3.3495
53064,4.6056
25990,3.0709
29556,3.3653
80303,4.0417
721625,4.0793
8963,4.3302
85186,3.6082
37645,4.8743
1151244,4.2652
10843,3.7002
13497,3.5484
672816,3.7552
301337,3.8086
188222,3.6513
998898,3.6916
10323,4.3154
805327,3.0314
11460,3.1454
241554,4.6253
1293167,3.7301
1183188,3.4785
169881,4.3947
831395,3.5829
55372,3.6643
348327,3.0707
1280468,3.6328
134374,4.9779
1261333,3.2296
36685,3.6349
1252106,3.753
1491,4.9198
352364,3.5411
1389255,5.2111
1175873,3.8988
379085,3.0828
550104,2.8611
286724,3.2478
319920,3.847
113464,3.5963
54000,3.5056
8698,4.3908
41243,3.3157
663558,4.423
429200,4.7374
409396,3.1306
726759,4.3129
399057,4.7871
280217,3.9646
80278,4.7777
61964,3.8321
1372059,4.2024
81878,3.9842
49158,4.6044
1318917,3.5442
10575,4.1751
21882,4.2601
36630,4.3137
31610,3.4539
118098,3.6906
255709,7.9718
744274,3.5019
370009,3.4597
480434,4.0917
10642,3.8181
643215,4.0486
1244039,2.8761
1007878,3.1618
381890,3.7973
1310906,3.7412
174678,3.6353
1512647,4.0274
77780,3.7339
1633107,2.4989
227365,3.3484
396179,3.3868
301228,3.3932
848494,4.1628
78318,3.6842
62583,3.5746
518068,3.7146
10630,3.8009
